Machine_ID,Temp_C,Vibration_mm_s,Pressure_Bar,Acoustic_dB,Inspection_Duration_min,Downtime_Cost_USD,Technician_Availability_pct,Failure_Prob,Maintenance_Priority
M004,70.4156306,3.036377853,5.58256187,74.49467778,68,3112,99,0.48,2
M006,74.50966627,2.787865898,4.916865553,64.01735083,127,522,63,0.5,2
M009,78.7249571,2.067099181,4.597600626,68.77238213,68,836,84,0.47,2
M006,76.67725822,1.998634581,5.012083076,76.90987209,142,3799,80,0.48,2
M009,53.38154538,3.84467612,5.17634477,84.85588608,88,2710,78,0.51,2
M002,70.88173846,3.441257855,5.121151137,62.74723392,66,2123,63,0.51,2
M006,64.86262009,2.343960233,4.480456679,64.0296346,56,2179,74,0.44,2
M007,79.61696918,2.316806082,5.131601461,76.49275577,75,3555,71,0.51,2
M008,64.61830853,1.68521039,5.417804013,92.90565018,89,1278,50,0.5,2
M007,80.13540708,3.273254321,4.386132329,46.52683359,43,2826,56,0.51,2
M007,85.54363548,1.150451152,5.439441167,81.4959069,74,3581,90,0.48,2
M004,75.48668737,2.805614361,4.764638296,78.29943214,49,2524,94,0.5,2
M006,62.5838378,2.203226739,4.516078682,75.59565993,69,787,61,0.47,2
M007,70.64169659,3.666887876,5.155748034,83.1685566,142,4130,83,0.54,1
M005,74.15740553,4.108305472,4.799929579,73.80259426,46,811,78,0.56,2
M007,86.11987714,0.691252984,4.870076291,82.49782758,72,4174,64,0.49,1
M001,99.65733955,1.428025084,5.782686337,65.61385479,52,4751,96,0.49,1
M002,99.67203711,2.546771431,4.45642825,84.99723206,135,1395,52,0.62,2
M001,75.39163904,1.142209105,4.678337802,58.31100871,44,574,75,0.41,2
M004,62.87542721,4.523600568,3.798411704,57.10613509,112,1006,84,0.5,2
M003,63.72576944,3.063459954,4.54052339,68.03320602,40,3275,99,0.45,2
M008,77.41048477,1.546581098,5.102034351,58.87067925,107,4981,88,0.42,1
M010,71.60085494,0.830199847,5.569818906,67.4342659,49,3868,80,0.4,3
M001,74.63223694,1.118004677,4.761271238,72.09401362,110,2623,60,0.45,2
